index,Date,Close,High,Low,Open,Volume
0,2019-10-02,58.431636810302734,59.44221912639637,58.16644945656304,59.44221912639637,32302000
1,2019-10-03,58.987831115722656,59.04891366295943,57.72646249683497,58.5989934566008,32424000
2,2019-10-04,60.03913879394531,60.16030744160008,59.05437689707421,59.18945411874294,23248000
3,2019-10-07,59.97358322143555,60.496206110741845,59.77841990658086,59.810700224232654,16858000
4,2019-10-08,59.052391052246094,59.894130669586495,59.04643131737063,59.472516367653085,20786000
5,2019-10-09,59.706912994384766,60.00685853512725,59.47450227577442,59.55991630271113,17354000
6,2019-10-10,60.02274703979492,60.33709747505394,59.46009958065109,59.52167845498084,16932000
7,2019-10-11,60.35944366455078,61.00204553146064,60.27452596868297,60.69514760611892,25454000
8,2019-10-14,60.44336700439453,60.89974703768053,60.17619812590616,60.20500035255357,17350000
9,2019-10-15,61.72807693481445,61.94260843271399,60.60525992532149,60.60525992532149,27634000
10,2019-10-16,61.759368896484375,62.31059704968608,61.50163402570495,61.63670746642111,21892000
11,2019-10-17,62.2276611328125,62.73692484016027,62.07222685071434,62.12138992797225,19048000
12,2019-10-18,61.85123443603516,62.51667876109587,61.63223219092888,62.24702445615143,27056000
13,2019-10-21,61.884010314941406,62.30507902592307,61.608396262066,62.187433937520645,20544000
14,2019-10-22,61.71764373779297,62.104992363874366,61.64712716213834,61.96842996043059,20476000
15,2019-10-23,62.528602600097656,62.56634253601734,61.69580068918184,61.69580068918184,18230000
16,2019-10-24,62.62096786499024,62.77044619692498,62.25968972792492,62.6164971167155,20562000
17,2019-10-25,62.82656097412109,63.04854120105886,62.075698809640514,62.12635087152809,24262000
18,2019-10-28,64.06160736083984,64.52394333613366,63.19453986306935,63.33905111269777,52264000
19,2019-10-29,62.701908111572266,63.64395907969939,62.43334498763664,63.377782880430544,37728000
20,2019-10-30,62.6358642578125,63.036621368689126,62.1745209312892,62.22269134875727,28178000
21,2019-10-31,62.577274322509766,62.95270355125728,62.11707136287896,62.635375111921846,29114000
22,2019-11-01,63.25413513183594,63.2978348014475,62.5966358284961,62.82010504238802,33402000
23,2019-11-04,64.129638671875,64.26670120084444,63.38399365995271,63.38871067810195,30020000
24,2019-11-05,64.16241455078125,64.50507084887559,64.12263247282912,64.2051215586552,25654000
